domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
armydentalcorps.amedd.army.mil,2285,2285,2285,1,0,2285
beckley.va.gov,2285,3047,3047,1.333479212,0,3047
cio.noaa.gov,2285,2285,2285,1,0,2285
cit.nih.gov,2285,2285,2285,1,0,2285
cosmictimes.gsfc.nasa.gov,2285,2285,1524,1,0,2285
cwds.ca.gov,2285,2285,2285,1,0,2285
eagnmncom0628.usps.com,2285,2285,2285,1,0,2285
eagnmncom06a6.usps.com,2285,2285,2285,1,0,2285
eagnmncom115b.usps.com,2285,2285,2285,1,0,2285
eagnmncom115d.usps.com,2285,2285,2285,1,0,2285
eagnmncom120f.usps.com,2285,2285,2285,1,0,2285
eagnmncom1228.usps.com,2285,2285,2285,1,0,2285
eagnmncom1a18.usps.com,2285,2285,2285,1,0,2285
eagnmncom1c2b.usps.com,2285,2285,2285,1,0,2285
eagnmnmepd4b.usps.gov,2285,2285,2285,1,0,2285
es.govloans.gov,2285,2285,2285,1,0,2285
ethiopia.usembassy.gov,2285,2285,1524,1,0,2285
fpir.noaa.gov,2285,3047,2285,1.333479212,0,3047
giovanni.sci.gsfc.nasa.gov,2285,5333,3047,2.333916849,0,3047
isccp.giss.nasa.gov,2285,2285,1524,1,0,2285
lep.gov,2285,2285,2285,1,0,2285
modis-atmos.gsfc.nasa.gov,2285,17522,3047,7.668271335,0,3047
nagb.org,2285,2285,1524,1,0,2285
newbornscreeningcodes.nlm.nih.gov,2285,2285,2285,1,0,2285
oiir.hq.nasa.gov,2285,2285,2285,1,0,2285
patentsgazette.uspto.gov,2285,5333,3047,2.333916849,0,2285
philadelphia.jobcorps.gov,2285,2285,2285,1,0,2285
prevention.va.gov,2285,2285,2285,1,0,2285
pubweb.epa.gov,2285,2285,2285,1,0,2285
rosetta.jpl.nasa.gov,2285,2285,2285,1,0,2285
seafood.nmfs.noaa.gov,2285,2285,2285,1,0,2285
shiptracker.noaa.gov,2285,2285,2285,1,0,2285
spanish.bogota.usembassy.gov,2285,2285,1524,1,0,2285
support.ncbi.nlm.nih.gov,2285,2285,2285,1,0,2285
tech.ed.gov,2285,2285,2285,1,0,2285
turner.jobcorps.gov,2285,2285,2285,1,0,2285
utm.arc.nasa.gov,2285,2285,1524,1,0,2285
wi.water.usgs.gov,2285,2285,2285,1,0,2285
wizard.gov,2285,2285,2285,1,0,2285
wwwastro.msfc.nasa.gov,2285,2285,2285,1,0,2285
wwwbrr.cr.usgs.gov,2285,2285,2285,1,0,2285
beta.ngs.noaa.gov,3047,3047,3047,1,0,3047
clearfield.jobcorps.gov,3047,3047,3047,1,0,3047
coris.noaa.gov,3047,3047,2285,1,0,3047
eagnmncom06a9.usps.com,3047,3047,3047,1,0,3047
eagnmncom1158.usps.com,3047,3047,3047,1,0,3047
eagnmncom115e.usps.com,3047,3047,3047,1,0,3047
eagnmncom1210.usps.com,3047,3047,3047,1,0,3047
eagnmncom122a.usps.com,3047,3047,3047,1,0,3047
eagnmncom122b.usps.com,3047,3047,3047,1,0,3047
eagnmncom1a0e.usps.com,3047,3047,3047,1,0,3047
eagnmncom1a10.usps.com,3047,3047,3047,1,0,3047
eagnmnmepd49.usps.gov,3047,3047,3047,1,0,3047
eagnmnmepd4d.usps.gov,3047,3047,3047,1,0,3047
gcmrc.gov,3047,3047,3047,1,0,3047
geomag.usgs.gov,3047,3047,3047,1,0,3047
ita.doc.gov,3047,3047,3047,1,0,3047
jackson.va.gov,3047,3809,3809,1.250082048,0,3809
jscfeatures.jsc.nasa.gov,3047,3047,3047,1,0,3047
medicalcountermeasures.gov,3047,3047,2285,1,0,3047
nccoe.nist.gov,3047,3047,3047,1,0,3047
olympiccoast.noaa.gov,3047,3047,2285,1,0,3047
spanish.guatemala.usembassy.gov,3047,3047,3047,1,0,3047
spanish.madrid.usembassy.gov,3047,3809,1524,1.250082048,0,3809
vestatrek.jpl.nasa.gov,3047,3047,3047,1,0,3047
2014.spaceappschallenge.org,3809,3809,3047,1,0,3809
cnss.gov,3809,3809,3809,1,0,3809
eagnmncom115f.usps.com,3809,3809,3809,1,0,3809
eagnmncom122e.usps.com,3809,3809,3809,1,0,3809
eagnmncom1a16.usps.com,3809,3809,3809,1,0,3809
eagnmncom1bf9.usps.com,3809,3809,3809,1,0,3809
eagnmnmepd50.usps.gov,3809,3809,3809,1,0,3809
eagnmnmepd5f.usps.gov,3809,3809,3809,1,0,3809
fpc.state.gov,3809,3809,3047,1,0,3809
larc-exchange.larc.nasa.gov,3809,3809,1524,1,0,3809
search.usgs.gov,3809,3809,3809,1,0,3809
tess.gsfc.nasa.gov,3809,10665,4571,2.799947493,0,4571
cascom.army.mil,4571,5333,4571,1.166703128,0,4571
eagnmncom06a7.usps.com,4571,4571,4571,1,0,4571
eagnmncom115a.usps.com,4571,4571,4571,1,0,4571
eagnmncom120d.usps.com,4571,4571,4571,1,0,4571
eagnmncom122d.usps.com,4571,4571,4571,1,0,4571
eagnmncom1a17.usps.com,4571,4571,4571,1,0,4571
eagnmncom1c29.usps.com,4571,4571,4571,1,0,4571
preview-forecast.weather.gov,4571,4571,2285,1,0,4571
taaps.gov,4571,4571,4571,1,0,4571
acetool.commerce.gov,5333,6095,6095,1.14288393,0,5333
eagnmncom1bfa.usps.com,5333,5333,5333,1,0,5333
eagnmnmepd4c.usps.gov,5333,5333,5333,1,0,5333
eagnmnmepd4e.usps.gov,5333,5333,5333,1,0,5333
eagnmnmepd60.usps.gov,5333,5333,5333,1,0,5333
sites.wff.nasa.gov,6095,6095,5333,1,0,6095
analytics.usa.gov,6856,6856,6856,1,0,6856
eagnmnmepd4a.usps.gov,6856,6856,6856,1,0,6856
eagnmnmepd61.usps.gov,6856,6856,6856,1,0,6856
pmel.noaa.gov,6856,6856,6095,1,0,6856
portugues.cdc.gov,6856,6856,6856,1,0,6856
eagnmnmepd62.usps.gov,7618,7618,7618,1,0,7618
danville.va.gov,8380,8380,6856,1,0,8380
eagnmnmepd4f.usps.gov,8380,8380,8380,1,0,8380
iono.jpl.nasa.gov,9904,9904,5333,1,0,9904
login.test.usajobs.gov,11427,11427,11427,1,0,11427
wc3-www.identitytheft.gov,13713,13713,13713,1,0,13713
